user_id,activity_id,predicted_rating
6,2,4.3982
6,503,4.6185
6,504,4.4652
6,505,4.7284
6,506,4.4311
6,508,4.3188
6,509,4.4392
6,510,4.7276
6,511,4.8396
6,512,4.5834
6,513,4.5713
6,514,4.5558
6,515,4.3535
6,516,4.5401
6,517,4.4639
6,518,4.602
6,519,4.6411
6,520,4.4994
6,521,4.5633
6,522,4.8836
6,523,4.7337
6,524,4.4121
6,525,4.1969
6,526,4.6846
6,527,4.4458
6,528,4.4377
6,529,4.5502
6,530,4.6876
6,531,3.6242
6,532,4.5118
6,533,4.4761
6,534,4.6256
6,535,4.2753
6,536,4.4635
6,537,4.6495
6,538,3.5862
6,539,4.573
6,540,4.6491
6,541,4.322
6,542,4.533
6,543,4.5669
6,544,3.5862
6,545,4.5518
6,546,4.6767
6,547,4.8521
6,548,4.251
6,549,4.4626
6,550,4.2831
6,551,4.378
6,552,4.6183
6,553,3.648
6,554,4.2446
6,555,3.5862
6,556,4.4542
6,557,4.4493
6,558,4.6988
6,559,4.6071
6,560,4.8614
6,561,3.6242
6,562,4.6643
6,563,4.5863
6,564,4.7392
6,565,4.6153
6,566,4.76
6,567,4.6023
6,568,4.3047
6,569,4.4113
6,570,4.4587
6,571,4.5564
6,572,4.5023
6,573,4.7263
6,574,4.5004
6,575,4.7072
6,576,4.3312
6,577,4.3452
6,578,4.7944
6,579,4.7403
6,580,4.6929
6,581,4.5734
6,582,4.4671
6,583,4.1435
6,584,4.2155
6,585,4.5441
6,586,4.5027
6,587,4.3553
6,588,4.4189
6,589,4.5166
6,590,4.537
6,591,4.5905
6,592,4.8321
6,593,4.3271
6,594,4.7907
6,595,3.6242
6,596,4.6599
6,597,4.3568
6,598,4.4316
6,599,4.45
6,600,4.905
6,601,4.6447
6,602,4.7145
6,603,4.5433
6,604,4.4157
6,605,3.6242
6,606,4.524
6,607,5.0
6,608,4.5306
6,609,4.6031
6,610,4.7075
6,611,4.5635
6,612,4.6296
6,613,4.5437
6,614,4.5177
6,615,4.7134
6,616,4.5268
6,617,4.55
6,618,4.5487
6,619,4.4813
6,620,4.3845
6,621,4.621
6,622,4.47
6,623,4.3712
6,624,4.5863
6,625,4.6468
6,626,4.189
6,628,4.371
6,629,4.4239
6,630,4.4793
6,631,3.6242
6,632,4.6248
6,633,4.8058
6,634,4.4615
6,635,4.5466
6,636,4.3702
6,637,4.8931
6,638,4.6026
6,639,4.4707
6,640,4.3935
6,641,4.4411
6,642,4.3208
6,643,4.758
6,644,3.6242
6,645,4.5868
6,646,4.6708
6,648,4.3588
6,649,4.4068
6,650,3.6242
6,651,4.7161
6,652,4.4996
6,653,4.644
6,654,4.4685
6,655,4.4518
6,656,4.4528
6,657,4.4368
6,658,4.5906
6,659,4.401
6,660,4.5105
6,661,4.6252
6,662,4.5505
6,663,4.5857
6,664,4.4259
6,665,4.2368
6,666,4.6664
6,667,4.2526
6,668,4.5788
6,669,4.68
6,670,4.677
6,671,4.5825
6,672,4.6846
6,673,3.648
6,674,4.4433
6,675,4.539
6,676,4.339
6,677,4.6585
6,678,4.4269
6,679,4.5505
6,680,3.6242
6,681,4.618
6,682,4.3468
6,683,4.3934
6,684,4.6265
6,685,3.648
6,686,4.3631
6,687,4.5686
6,688,4.4887
6,689,4.5617
6,690,4.4443
6,691,4.6476
6,692,4.3842
6,693,4.4524
6,694,4.441
6,695,4.6548
6,696,4.654
6,697,4.4411
6,698,4.4691
6,699,3.6729
6,700,4.3968
6,701,4.483
6,702,4.4512
6,703,4.7195
6,704,4.6917
6,705,4.6864
6,706,4.6097
6,707,4.4887
6,708,3.648
6,709,4.5253
6,710,4.4981
6,711,4.6187
6,713,4.5717
6,715,4.683
6,716,4.4004
6,717,4.5268
6,718,4.6589
6,719,3.6729
6,720,4.4004
6,721,3.6242
6,722,4.5268
6,723,4.4621
6,724,3.6242
6,725,4.6861
6,726,4.4252
6,727,4.6682
6,728,4.5619
6,729,4.4295
6,730,4.634
6,731,4.5655
6,732,4.5725
6,733,4.5512
6,734,4.5509
6,736,4.5186
6,737,4.5209
6,738,4.6324
6,739,4.612
6,741,4.4941
6,742,4.9371
6,743,4.5755
6,744,4.5268
6,745,3.6242
6,746,4.4279
6,747,4.6255
6,748,4.5268
6,749,4.4188
6,750,4.5899
6,751,4.5147
6,752,4.4327
6,753,4.5181
6,754,4.3918
6,755,4.5607
6,756,4.6591
6,757,4.5465
6,758,4.5072
6,759,4.4567
6,760,4.6656
6,761,4.5221
6,762,4.4345
6,763,4.6201
6,764,4.5088
6,765,4.527
6,767,4.3859
6,768,4.642
6,769,4.4391
6,770,3.6729
6,772,4.6679
6,773,4.4628
6,774,4.4887
6,775,4.5374
6,776,4.5268
6,777,4.5659
6,778,4.8388
6,779,4.5868
6,780,4.5755
6,781,4.4968
6,782,3.6729
6,783,4.3221
6,784,4.653
6,785,4.5584
6,786,4.4472
6,787,4.5073
6,788,3.6242
6,789,4.4447
6,791,4.4029
6,792,4.4912
6,793,4.4562
6,794,4.4057
6,795,4.4927
6,796,4.4808
6,797,3.6729
6,798,4.5568
6,799,4.6018
6,800,4.6315
6,801,4.5515
6,802,4.4804
6,803,4.4657
6,804,4.5108
6,805,4.5822
6,807,4.4198
6,808,4.4656
6,809,4.5992
6,810,4.5196
6,811,4.5718
6,812,4.6601
6,813,4.5268
6,814,4.4425
6,815,4.4411
6,816,4.3333
6,817,4.7034
6,818,4.4932
6,820,4.4518
6,821,4.5002
6,822,4.5994
6,824,4.4454
6,825,4.6652
6,826,4.4252
6,827,4.6334
6,828,4.6923
6,829,4.6411
6,830,4.6675
6,831,4.4126
6,832,4.4798
